52	Union{Nothing, Int64}"95, 51, 219, 222, 270, 223, 139"	"50.5704, 88.9874, 55.6773, 28.9041, 0.682004, 81.1487, 83.6912"	"505.704, 889.874, 556.773, 289.041, 6.82004, 811.487, 836.912"	"108.442, 41.2583, 38.2335, 40.5889, 256.895, 28.6962, 101.589"	1000.0	1010.0	63626.781419965264
53	Union{Nothing, Int64}"329, 55, 54, 74, 36, 196, 197, 5"	"576.564, 639.742, 90.4087, 221.366, 452.478, 388.95, 10.1032, 74.399"	"5765.64, 6397.42, 904.087, 2213.66, 4524.78, 3889.5, 101.032, 743.99"	"940.158, 547.289, 401.947, 381.425, 352.321, 364.243, 530.858, 424.807"	1000.0	1010.0	440772.5051193107
54	Union{Nothing, Int64}"329, 53, 36, 75, 47, 81"	"106.463, 90.4087, 550.786, 119.174, 250.202, 524.553"	"1064.63, 904.087, 5507.86, 1191.74, 2502.02, 5245.53"	"994.025, 401.947, 187.609, 272.356, 205.456, 183.633"	1000.0	1010.0	55863.15164007712
55	Union{Nothing, Int64}"6, 5, 53, 198"	"79.185, 314.664, 639.742, 587.354"	"791.85, 3146.64, 6397.42, 5873.54"	"312.679, 242.0, 547.289, 247.645"	1000.0	1010.0	6.922885824189398e6
56	Union{Nothing, Int64}"81, 47, 79, 82, 311"	"164.534, 100.742, 111.171, 145.571, 231.057"	"1645.34, 1007.42, 1111.71, 1455.71, 2310.57"	"178.045, 214.478, 241.0, 251.241, 192.52"	1000.0	1010.0	671698.1166269621
57	Union{Nothing, Int64}"306, 297, 174, 49, 58, 91, 183, 160"	"105.174, 89.3383, 48.9348, 186.812, 184.305, 79.829, 263.295, 74.4367"	"1051.74, 893.383, 489.348, 1868.12, 1843.05, 798.29, 2632.95, 744.367"	"270.1, 278.352, 300.556, 245.153, 227.068, 243.393, 305.918, 522.551"	1000.0	1010.0	413279.21935819375
58	Union{Nothing, Int64}"306, 57, 303, 300, 308, 297"	"92.0248, 184.305, 1.05985, 128.558, 75.026, 273.067"	"920.248, 1843.05, 10.5985, 1285.58, 750.26, 2730.67"	"153.999, 227.068, 153.942, 72.2381, 116.945, 212.565"	1000.0	1010.0	505900.1537944386
59	Union{Nothing, Int64}"195, 338, 301, 333, 60, 186, 304, 305"	"180.221, 153.993, 100.736, 201.888, 186.365, 3.02577, 221.344, 19.0456"	"1802.21, 1539.93, 1007.36, 2018.88, 1863.65, 30.2577, 2213.44, 190.456"	"169.461, 200.34, 292.638, 415.958, 244.706, 466.154, 205.704, 308.328"	1000.0	1010.0	1.0879513400648043e6
60	Union{Nothing, Int64}"195, 59, 324, 185, 186"	"153.944, 186.365, 124.936, 79.3452, 130.331"	"1539.44, 1863.65, 1249.36, 793.452, 1303.31"	"106.0, 244.706, 169.8, 137.0, 244.002"	1000.0	1010.0	1.174286149170865e6
61	Union{Nothing, Int64}"297, 160, 192, 298, 62"	"240.951, 160.939, 273.049, 156.0, 123.27"	"2409.51, 1609.39, 2730.49, 1560.0, 1232.7"	"669.633, 482.412, 523.129, 480.0, 713.003"	1000.0	1010.0	2.19555025406337e6
62	Union{Nothing, Int64}"297, 61, 303, 177"	"246.503, 123.27, 239.485, 94.477"	"2465.03, 1232.7, 2394.85, 944.77"	"211.967, 713.003, 161.32, 249.0"	1000.0	1010.0	2.3908249475951996e6
